batch,time_in_oven_min,butter_g,flour_g,diameter_in
1,9,28,40,2.625
1,9,28,40,3
1,9,28,40,2.625
1,9,28,61,2.25
1,9,28,61,2.3125
1,9,28,61,2.3125
1,9,28,82,2
1,9,28,82,1.9375
1,9,28,82,1.875
2,9,56,40,3.75
2,9,56,40,4.125
2,9,56,40,4
2,9,56,61,2.25
2,9,56,61,2.5
2,9,56,61,2.5
2,9,56,82,2.25
2,9,56,82,2.1875
2,9,56,82,2.1875
3,9,42,40,3.5
3,9,42,40,3.125
3,9,42,40,3.25
3,9,42,61,2.5
3,9,42,61,2.375
3,9,42,61,2.5
3,9,42,82,1.9375
3,9,42,82,2
3,9,42,82,2
4,12,28,40,3.125
4,12,28,40,2.875
4,12,28,40,2.9375
4,12,28,61,2.25
4,12,28,61,2.25
4,12,28,61,2.1875
4,12,28,82,2
4,12,28,82,2.0625
4,12,56,82,1.875
5,12,56,40,3.875
5,12,56,40,4.5
5,12,56,40,3.875
5,12,56,61,2.5
5,12,56,61,2.4375
5,12,56,61,2.625
5,12,56,82,2.25
5,12,56,82,2.125
5,12,42,82,2.3125
6,12,42,40,3.1875
6,12,42,40,3
6,12,42,40,3.4375
6,12,42,61,2.375
6,12,42,61,2.5
6,12,42,61,2.3125
6,12,42,82,2.125
6,12,42,82,2.0625
6,12,42,82,2.125